Zone_ID,Zone_Name,Feature_Yaw,Feature_Pitch,Feature_MaxPitchDelta
0,碎音鈸,127.26,8.44,17.58
0,碎音鈸,137.59,9.85,10.2
0,碎音鈸,148.69,7.55,12.87
0,碎音鈸,154.75,9.55,13.04
0,碎音鈸,162.6,15.15,15.15
0,碎音鈸,166.23,5.75,15.15
0,碎音鈸,166.13,6.65,8.67
0,碎音鈸,166.12,8.48,8.82
0,碎音鈸,169.13,9.29,9.29
0,碎音鈸,172.93,11.61,11.61
0,碎音鈸,177.2,15.53,17.65
0,碎音鈸,-176.17,11.08,20.36
0,碎音鈸,-179.16,10.05,21.81
0,碎音鈸,-179.58,9.81,11.08
0,碎音鈸,-176.04,16.19,16.19
0,碎音鈸,-171.55,13.39,18.65
0,碎音鈸,-169.32,11.22,14.91
0,碎音鈸,-168.94,8.57,12.89
0,碎音鈸,-168.04,11.89,15.06
0,碎音鈸,-168.07,12.09,12.28
1,小鼓,-167.64,14.93,14.93
1,小鼓,157.27,23.62,23.62
1,小鼓,137.0,18.51,21.34
1,小鼓,123.06,16.34,18.51
1,小鼓,106.42,14.02,16.39
1,小鼓,95.84,11.63,14.02
1,小鼓,85.45,5.01,11.63
1,小鼓,76.62,2.06,5.11
1,小鼓,70.58,3.92,6.22
1,小鼓,60.01,1.23,2.43
1,小鼓,55.58,1.86,3.24
1,小鼓,50.71,2.36,3.52
1,小鼓,49.56,-0.09,2.45
1,小鼓,45.68,5.05,5.05
1,小鼓,41.6,2.36,6.43
1,小鼓,39.68,-0.94,2.69
1,小鼓,42.1,-1.52,2.42
1,小鼓,40.7,-5.53,-0.34
1,小鼓,41.2,-6.57,-0.97
1,小鼓,46.38,-0.83,-0.3
2,高音中鼓,34.63,-7.18,-5.93
2,高音中鼓,40.49,0.99,0.99
2,高音中鼓,42.91,4.27,4.62
2,高音中鼓,53.18,9.66,10.33
2,高音中鼓,54.0,7.61,10.05
2,高音中鼓,50.84,6.74,6.74
2,高音中鼓,52.79,7.15,8.54
2,高音中鼓,52.38,7.21,7.21
2,高音中鼓,52.72,4.56,8.5
2,高音中鼓,51.98,8.98,8.98
2,高音中鼓,56.97,10.17,12.14
2,高音中鼓,62.0,6.55,12.57
2,高音中鼓,65.31,9.89,10.29
2,高音中鼓,66.02,7.18,9.14
2,高音中鼓,68.23,5.7,7.18
2,高音中鼓,70.36,5.85,8.03
2,高音中鼓,70.61,5.2,5.85
2,高音中鼓,69.32,6.37,7.71
2,高音中鼓,67.78,6.74,7.33
2,高音中鼓,65.68,6.01,7.48
3,低音中鼓,36.51,1.03,3.87
3,低音中鼓,36.8,3.08,10.06
3,低音中鼓,40.12,1.05,8.59
3,低音中鼓,40.06,2.13,10.3
3,低音中鼓,40.64,6.6,10.94
3,低音中鼓,41.38,11.81,13.93
3,低音中鼓,42.33,15.75,16.8
3,低音中鼓,38.71,15.1,19.42
3,低音中鼓,32.19,15.05,21.56
3,低音中鼓,35.61,14.03,19.53
3,低音中鼓,33.57,12.75,15.21
3,低音中鼓,35.52,10.78,20.47
3,低音中鼓,33.23,13.89,20.55
3,低音中鼓,37.12,7.43,22.45
3,低音中鼓,40.17,12.49,20.02
3,低音中鼓,42.08,13.2,19.95
3,低音中鼓,45.2,12.29,19.11
3,低音中鼓,46.38,5.35,18.69
3,低音中鼓,46.45,9.26,11.4
3,低音中鼓,47.99,6.71,10.15
4,落地鼓,18.85,15.82,16.1
4,落地鼓,4.99,16.52,16.54
4,落地鼓,-2.42,15.9,16.56
4,落地鼓,-8.31,13.44,16.66
4,落地鼓,-9.62,15.17,15.94
4,落地鼓,-13.77,13.71,16.65
4,落地鼓,-14.92,15.64,17.57
4,落地鼓,-15.76,13.32,17.49
4,落地鼓,-13.86,13.96,16.4
4,落地鼓,-13.45,14.13,17.85
4,落地鼓,-12.11,8.52,16.27
4,落地鼓,-12.49,13.4,15.33
4,落地鼓,-10.34,11.82,16.02
4,落地鼓,-9.02,9.14,14.66
4,落地鼓,-10.81,9.41,12.81
4,落地鼓,-8.94,6.77,14.49
4,落地鼓,-7.7,7.54,12.98
4,落地鼓,-6.97,3.36,10.61
4,落地鼓,-6.31,12.29,13.61
4,落地鼓,-4.01,13.48,15.78
5,碎音鈸2,-13.45,4.02,5.29
5,碎音鈸2,-34.8,7.14,7.14
5,碎音鈸2,-40.47,3.83,7.28
5,碎音鈸2,-47.34,3.01,5.03
5,碎音鈸2,-58.59,1.56,2.21
5,碎音鈸2,-56.5,2.58,5.49
5,碎音鈸2,-55.19,0.87,3.45
5,碎音鈸2,-60.32,0.18,1.47
5,碎音鈸2,-56.37,-0.14,1.81
5,碎音鈸2,-48.5,-6.64,0.44
5,碎音鈸2,-44.16,-5.7,4.12
5,碎音鈸2,-38.89,2.1,4.12
5,碎音鈸2,-35.2,2.01,3.36
5,碎音鈸2,-33.22,-4.71,2.07
5,碎音鈸2,-31.2,-6.67,-0.45
5,碎音鈸2,-26.01,-6.52,-1.36
5,碎音鈸2,-21.64,-3.86,-1.65
5,碎音鈸2,-13.53,-3.84,-1.65
5,碎音鈸2,-12.41,-1.38,-0.36
5,碎音鈸2,-7.09,-6.07,-3.29
6,疊音拔,-29.34,-16.18,-14.36
6,疊音拔,-23.82,-10.94,-10.25
6,疊音拔,-32.17,-21.28,-14.53
6,疊音拔,-29.68,-22.9,-20.15
6,疊音拔,-22.74,-23.88,-18.85
6,疊音拔,-21.27,-25.31,-18.31
6,疊音拔,-13.34,-28.95,-19.85
6,疊音拔,-12.56,-25.83,-22.64
6,疊音拔,-9.37,-24.68,-18.55
6,疊音拔,-6.92,-24.19,-19.77
6,疊音拔,-4.24,-28.01,-21.25
6,疊音拔,-2.32,-28.97,-21.71
6,疊音拔,-1.09,-23.8,-20.12
6,疊音拔,0.81,-23.43,-20.68
6,疊音拔,-1.12,-27.9,-18.53
6,疊音拔,-0.7,-24.39,-23.04
6,疊音拔,0.96,-24.69,-21.26
6,疊音拔,2.99,-24.93,-22.69
6,疊音拔,3.95,-30.82,-20.21
6,疊音拔,12.73,-30.04,-27.16
